U+0250	ɐ	LATIN SMALL LETTER TURNED A	0	
U+0251	ɑ	LATIN SMALL LETTER ALPHA	0	
U+0252	ɒ	LATIN SMALL LETTER TURNED ALPHA	0	
U+0253	ɓ	LATIN SMALL LETTER B WITH HOOK	0	
U+0254	ɔ	LATIN SMALL LETTER OPEN O	0	
U+0255	ɕ	LATIN SMALL LETTER C WITH CURL	0	
U+0256	ɖ	LATIN SMALL LETTER D WITH TAIL	0	
U+0257	ɗ	LATIN SMALL LETTER D WITH HOOK	0	
U+0258	ɘ	LATIN SMALL LETTER REVERSED E	0	
U+0259	ə	LATIN SMALL LETTER SCHWA	0	
U+025A	ɚ	LATIN SMALL LETTER SCHWA WITH HOOK	0	
U+025B	ɛ	LATIN SMALL LETTER OPEN E	0	
U+025C	ɜ	LATIN SMALL LETTER REVERSED OPEN E	0	
U+025D	ɝ	LATIN SMALL LETTER REVERSED OPEN E WITH HOOK	0	
U+025E	ɞ	LATIN SMALL LETTER CLOSED REVERSED OPEN E	0	
U+025F	ɟ	LATIN SMALL LETTER DOTLESS J WITH STROKE	0	
U+0260	ɠ	LATIN SMALL LETTER G WITH HOOK	0	
U+0261	ɡ	LATIN SMALL LETTER SCRIPT G	0	
U+0262	ɢ	LATIN LETTER SMALL CAPITAL G	0	
U+0263	ɣ	LATIN SMALL LETTER GAMMA	0	
U+0264	ɤ	LATIN SMALL LETTER RAMS HORN	0	
U+0265	ɥ	LATIN SMALL LETTER TURNED H	0	
U+0266	ɦ	LATIN SMALL LETTER H WITH HOOK	0	
U+0267	ɧ	LATIN SMALL LETTER HENG WITH HOOK	0	
U+0268	ɨ	LATIN SMALL LETTER I WITH STROKE	0	
U+0269	ɩ	LATIN SMALL LETTER IOTA	0	
U+026A	ɪ	LATIN LETTER SMALL CAPITAL I	0	
U+026B	ɫ	LATIN SMALL LETTER L WITH MIDDLE TILDE	0	
U+026C	ɬ	LATIN SMALL LETTER L WITH BELT	0	
U+026D	ɭ	LATIN SMALL LETTER L WITH RETROFLEX HOOK	0	
U+026E	ɮ	LATIN SMALL LETTER LEZH	0	
U+026F	ɯ	LATIN SMALL LETTER TURNED M	0	
U+0270	ɰ	LATIN SMALL LETTER TURNED M WITH LONG LEG	0	
U+0271	ɱ	LATIN SMALL LETTER M WITH HOOK	0	
U+0272	ɲ	LATIN SMALL LETTER N WITH LEFT HOOK	0	
U+0273	ɳ	LATIN SMALL LETTER N WITH RETROFLEX HOOK	0	
U+0274	ɴ	LATIN LETTER SMALL CAPITAL N	0	
U+0275	ɵ	LATIN SMALL LETTER BARRED O	0	
U+0276	ɶ	LATIN LETTER SMALL CAPITAL OE	0	
U+0277	ɷ	LATIN SMALL LETTER CLOSED OMEGA	0	
U+0278	ɸ	LATIN SMALL LETTER PHI	0	
U+0279	ɹ	LATIN SMALL LETTER TURNED R	0	
U+027A	ɺ	LATIN SMALL LETTER TURNED R WITH LONG LEG	0	
U+027B	ɻ	LATIN SMALL LETTER TURNED R WITH HOOK	0	
U+027C	ɼ	LATIN SMALL LETTER R WITH LONG LEG	0	
U+027D	ɽ	LATIN SMALL LETTER R WITH TAIL	0	
U+027E	ɾ	LATIN SMALL LETTER R WITH FISHHOOK	0	
U+027F	ɿ	LATIN SMALL LETTER REVERSED R WITH FISHHOOK	0	
U+0280	ʀ	LATIN LETTER SMALL CAPITAL R	0	
U+0281	ʁ	LATIN LETTER SMALL CAPITAL INVERTED R	0	
U+0282	ʂ	LATIN SMALL LETTER S WITH HOOK	0	
U+0283	ʃ	LATIN SMALL LETTER ESH	0	
U+0284	ʄ	LATIN SMALL LETTER DOTLESS J WITH STROKE AND HOOK	0	
U+0285	ʅ	LATIN SMALL LETTER SQUAT REVERSED ESH	0	
U+0286	ʆ	LATIN SMALL LETTER ESH WITH CURL	0	
U+0287	ʇ	LATIN SMALL LETTER TURNED T	0	
U+0288	ʈ	LATIN SMALL LETTER T WITH RETROFLEX HOOK	0	
U+0289	ʉ	LATIN SMALL LETTER U BAR	0	
U+028A	ʊ	LATIN SMALL LETTER UPSILON	0	
U+028B	ʋ	LATIN SMALL LETTER V WITH HOOK	0	
U+028C	ʌ	LATIN SMALL LETTER TURNED V	0	
U+028D	ʍ	LATIN SMALL LETTER TURNED W	0	
U+028E	ʎ	LATIN SMALL LETTER TURNED Y	0	
U+028F	ʏ	LATIN LETTER SMALL CAPITAL Y	0	
U+0290	ʐ	LATIN SMALL LETTER Z WITH RETROFLEX HOOK	0	
U+0291	ʑ	LATIN SMALL LETTER Z WITH CURL	0	
U+0292	ʒ	LATIN SMALL LETTER EZH	0	
U+0293	ʓ	LATIN SMALL LETTER EZH WITH CURL	0	
U+0294	ʔ	LATIN LETTER GLOTTAL STOP	0	
U+0295	ʕ	LATIN LETTER PHARYNGEAL VOICED FRICATIVE	0	
U+0296	ʖ	LATIN LETTER INVERTED GLOTTAL STOP	0	
U+0297	ʗ	LATIN LETTER STRETCHED C	0	
U+0298	ʘ	LATIN LETTER BILABIAL CLICK	0	
U+0299	ʙ	LATIN LETTER SMALL CAPITAL B	0	
U+029A	ʚ	LATIN SMALL LETTER CLOSED OPEN E	0	
U+029B	ʛ	LATIN LETTER SMALL CAPITAL G WITH HOOK	0	
U+029C	ʜ	LATIN LETTER SMALL CAPITAL H	0	
U+029D	ʝ	LATIN SMALL LETTER J WITH CROSSED-TAIL	0	
U+029E	ʞ	LATIN SMALL LETTER TURNED K	0	
U+029F	ʟ	LATIN LETTER SMALL CAPITAL L	0	
U+02A0	ʠ	LATIN SMALL LETTER Q WITH HOOK	0	
U+02A1	ʡ	LATIN LETTER GLOTTAL STOP WITH STROKE	0	
U+02A2	ʢ	LATIN LETTER REVERSED GLOTTAL STOP WITH STROKE	0	
U+02A3	ʣ	LATIN SMALL LETTER DZ DIGRAPH	0	
U+02A4	ʤ	LATIN SMALL LETTER DEZH DIGRAPH	0	
U+02A5	ʥ	LATIN SMALL LETTER DZ DIGRAPH WITH CURL	0	
U+02A6	ʦ	LATIN SMALL LETTER TS DIGRAPH	0	
U+02A7	ʧ	LATIN SMALL LETTER TESH DIGRAPH	0	
U+02A8	ʨ	LATIN SMALL LETTER TC DIGRAPH WITH CURL	0	
U+02A9	ʩ	LATIN SMALL LETTER FENG DIGRAPH	0	
U+02AA	ʪ	LATIN SMALL LETTER LS DIGRAPH	0	
U+02AB	ʫ	LATIN SMALL LETTER LZ DIGRAPH	0	
U+02AC	ʬ	LATIN LETTER BILABIAL PERCUSSIVE	0	
U+02AD	ʭ	LATIN LETTER BIDENTAL PERCUSSIVE	0	
U+02AE	ʮ	LATIN SMALL LETTER TURNED H WITH FISHHOOK	0	
U+02AF	ʯ	LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL	0	
U+02B0	ʰ	MODIFIER LETTER SMALL H	0	
U+02B2	ʲ	MODIFIER LETTER SMALL J	0	
U+02B3	ʳ	MODIFIER LETTER SMALL R	0	
U+02B7	ʷ	MODIFIER LETTER SMALL W	0	
U+02B8	ʸ	MODIFIER LETTER SMALL Y	0	
U+02B9	ʹ	MODIFIER LETTER PRIME	0	
U+02BA	ʺ	MODIFIER LETTER DOUBLE PRIME	0	
U+02BB	ʻ	MODIFIER LETTER TURNED COMMA	0	
U+02BC	ʼ	MODIFIER LETTER APOSTROPHE	0	
U+02BD	ʽ	MODIFIER LETTER REVERSED COMMA	0	
U+02BE	ʾ	MODIFIER LETTER RIGHT HALF RING	0	
U+02C0	ˀ	MODIFIER LETTER GLOTTAL STOP	0	
U+02C1	ˁ	MODIFIER LETTER REVERSED GLOTTAL STOP	0	
U+02C6	ˆ	MODIFIER LETTER CIRCUMFLEX ACCENT	0	
U+02C7	ˇ	CARON	0	
U+02C8	ˈ	MODIFIER LETTER VERTICAL LINE	0	
U+02C9	ˉ	MODIFIER LETTER MACRON	0	
U+02CA	ˊ	MODIFIER LETTER ACUTE ACCENT	0	
U+02CB	ˋ	MODIFIER LETTER GRAVE ACCENT	0	
U+02CC	ˌ	MODIFIER LETTER LOW VERTICAL LINE	0	
U+02CD	ˍ	MODIFIER LETTER LOW MACRON	0	
U+02CE	ˎ	MODIFIER LETTER LOW GRAVE ACCENT	0	
U+02CF	ˏ	MODIFIER LETTER LOW ACUTE ACCENT	0	
U+02D0	ː	MODIFIER LETTER TRIANGULAR COLON	0	
U+02D1	ˑ	MODIFIER LETTER HALF TRIANGULAR COLON	0	
U+02D8	˘	BREVE	0	
U+02D9	˙	DOT ABOVE	0	
U+02DA	˚	RING ABOVE	0	
U+02DB	˛	OGONEK	0	
U+02DC	˜	SMALL TILDE	0	
U+02DD	˝	DOUBLE ACUTE ACCENT	0	
U+02DE	˞	MODIFIER LETTER RHOTIC HOOK	0	
U+02E0	ˠ	MODIFIER LETTER SMALL GAMMA	0	
U+02E1	ˡ	MODIFIER LETTER SMALL L	0	
U+02E2	ˢ	MODIFIER LETTER SMALL S	0	
U+02E3	ˣ	MODIFIER LETTER SMALL X	0	
U+02E4	ˤ	MODIFIER LETTER SMALL REVERSED GLOTTAL STOP	0	
U+02E5	˥	MODIFIER LETTER EXTRA-HIGH TONE BAR	0	
U+02E6	˦	MODIFIER LETTER HIGH TONE BAR	0	
U+02E7	˧	MODIFIER LETTER MID TONE BAR	0	
U+02E8	˨	MODIFIER LETTER LOW TONE BAR	0	
U+02E9	˩	MODIFIER LETTER EXTRA-LOW TONE BAR	0	
U+02EA	˪	MODIFIER LETTER YIN DEPARTING TONE MARK	0	
U+02EB	˫	MODIFIER LETTER YANG DEPARTING TONE MARK	0	
U+02EC	ˬ	MODIFIER LETTER VOICING	0	
U+02EF	˯	MODIFIER LETTER LOW DOWN ARROWHEAD	0	
